תקופה,שם לקוח,מקט,שם פריט,כמות,מחיר,מחיר תקליט,סהכ לפריט
אוקטובר 2025,"מינה טומיי ת""א",784,"חסה אמריקאית ארוז,יחידה",385,3.8,לא,1463
אוקטובר 2025,"מינה טומיי ת""א",1639,"חסה לאליק,נספאק",39,8.8,לא,343.2
אוקטובר 2025,"מינה טומיי ת""א",1191,"חסה פקצוי (זוג),נספאק",375,7.4,לא,2775
אוקטובר 2025,"מינה טומיי ת""א",1381,"חציל,קג",2,6.86,כן,13.73
אוקטובר 2025,"מינה טומיי ת""א",1381,"חציל,קג",1,6.97,כן,6.97
אוקטובר 2025,"מינה טומיי ת""א",1381,"חציל,קג",1,8.17,כן,8.17
אוקטובר 2025,"מינה טומיי ת""א",106,"כוסברה,קג",32,10.3,לא,329.6
אוקטובר 2025,"מינה טומיי ת""א",809,"כרוב לבן גולמי,קג",84,3.03,כן,254.89
אוקטובר 2025,"מינה טומיי ת""א",809,"כרוב לבן גולמי,קג",30,3.34,כן,100.48
אוקטובר 2025,"מינה טומיי ת""א",809,"כרוב לבן גולמי,קג",66,4.6,כן,304.22
אוקטובר 2025,"מינה טומיי ת""א",746,"כרוב סיני,ראש",40,7.5,לא,300
אוקטובר 2025,"מינה טומיי ת""א",156,"כרישה/פרסה,קג",45,14.16,כן,637.4
אוקטובר 2025,"מינה טומיי ת""א",730,"ליים,קג",25,13.11,כן,327.86
אוקטובר 2025,"מינה טומיי ת""א",1685,"לימון סוג א,קג",120,12.06,כן,1447.74
אוקטובר 2025,"מינה טומיי ת""א",1074,"מלפפון,קג",20,5.71,כן,114.24
אוקטובר 2025,"מינה טומיי ת""א",1074,"מלפפון,קג",25,6.23,כן,155.92
אוקטובר 2025,"מינה טומיי ת""א",1074,"מלפפון,קג",25,6.44,כן,161.17
אוקטובר 2025,"מינה טומיי ת""א",1074,"מלפפון,קג",30,6.49,כן,194.98
אוקטובר 2025,"מינה טומיי ת""א",1074,"מלפפון,קג",30,6.91,כן,207.58
אוקטובר 2025,"מינה טומיי ת""א",269,"נבטים בתפזורת,קג",180,7.7,לא,1386
אוקטובר 2025,"מינה טומיי ת""א",51,"נענע,קג",10,12,לא,120
אוקטובר 2025,"מינה טומיי ת""א",1569,"נקטרינה לבנה,קג",4,26.23,כן,104.95
אוקטובר 2025,"מינה טומיי ת""א",1574,"נקטרינה צהובה,קג",20,24.13,כן,482.79
אוקטובר 2025,"מינה טומיי ת""א",1216,"סלק,קג",3,4.5,כן,13.51
אוקטובר 2025,"מינה טומיי ת""א",563,"עגבניות שרי תמר,קג",19,18.36,כן,348.92
אוקטובר 2025,"מינה טומיי ת""א",563,"עגבניות שרי תמר,קג",16,19.41,כן,310.63
אוקטובר 2025,"מינה טומיי ת""א",53,"עירית,קג",7,29.9,לא,209.3
אוקטובר 2025,"מינה טומיי ת""א",1016,"עלי קישוט,יחידה",140,1.3,לא,182
